    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
   34200     1000     -517.48594     -424.99165              0     -92.494289           1000       21752414 
   34300     1000     -566.68533     -467.61457              0     -99.070754           1000       21908308 
   34400     1000     -522.94529      -413.2584              0     -109.68689           1000       22126256 
   34500     1000     -511.31351      -417.1115              0     -94.202006           1000       22111911 
   34600     1000     -538.59286     -427.43884              0     -111.15402           1000       22210746 
   34700     1000     -539.85432     -425.76821              0     -114.08611           1000       22178642 
   34800     1000     -537.89504     -429.08572              0     -108.80933           1000       22094149 
   34900     1000     -543.40547     -442.78442              0     -100.62105           1000       22078388 
   35000     1000     -557.76213     -445.73247              0     -112.02967           1000       22081343 
   35100     1000     -539.67975     -430.57253              0     -109.10722           1000       21964876 
   35200     1000     -556.64021     -456.08334              0     -100.55687           1000       21883623 
   35300     1000     -530.67093     -424.63595              0     -106.03498           1000       21947148 
   35400     1000     -541.62834      -438.3586              0     -103.26974           1000       22029143 
   35500     1000     -543.69657     -436.34355              0     -107.35301           1000       21933406 
   35600     1000     -536.95818     -409.88779              0     -127.07039           1000       21990758 
   35700     1000     -552.45063     -430.26707              0     -122.18356           1000       21911763 
   35800     1000     -560.50939     -439.25715              0     -121.25224           1000       21914493 
   35900     1000     -583.05167     -486.05421              0     -96.997456           1000       21970532 
   36000     1000     -561.61229     -432.06388              0     -129.54841           1000       22000352 
   36100     1000     -524.93586     -413.50237              0     -111.43349           1000       22064276 
   36200     1000     -566.33138      -471.3822              0     -94.949186           1000       22027679 
   36300     1000     -559.18368     -447.63837              0     -111.54531           1000       22173170 
   36400     1000      -558.4571      -439.8254              0      -118.6317           1000       21759326 
   36500     1000     -540.83233       -430.602              0     -110.23033           1000       21801942 
   36600     1000     -557.49841     -444.45201              0      -113.0464           1000       21727457 
   36700     1000     -579.61253     -448.02561              0     -131.58691           1000       21781049 
   36800     1000     -593.71545     -457.20765              0      -136.5078           1000       21688756 
   36900     1000     -604.28016     -488.64539              0     -115.63477           1000       21671765 
   37000     1000     -573.67466     -460.44365              0     -113.23101           1000       21619789 
   37100     1000     -531.33418     -418.74759              0      -112.5866           1000       21649535 
   37200     1000     -518.51182     -417.36071              0     -101.15111           1000       21639582 
   37300     1000     -538.24413     -439.06395              0     -99.180183           1000       21705028 
   37400     1000     -524.43759     -431.56597              0     -92.871625           1000       21782510 
   37500     1000     -552.11514     -444.82961              0     -107.28553           1000       21854747 
   37600     1000     -524.46731     -414.28055              0     -110.18676           1000       21753132 
   37700     1000     -509.96284     -405.86321              0     -104.09963           1000       21755136 
   37800     1000     -526.69637     -415.07724              0     -111.61913           1000       21735837 
   37900     1000      -540.5285     -431.99533              0     -108.53318           1000       21833755 
   38000     1000     -551.26715     -447.01857              0     -104.24858           1000       21923507 
   38100     1000     -490.95707     -395.53169              0      -95.42538           1000       21885070 
   38200     1000      -513.7123     -403.52201              0     -110.19029           1000       21824879 
   38300     1000     -532.71511     -427.76321              0      -104.9519           1000       21812382 
   38400     1000     -538.86832     -432.83177              0     -106.03655           1000       21746683 
   38500     1000      -559.0252     -434.53172              0     -124.49348           1000       21722555 
   38600     1000     -573.34397     -461.35148              0     -111.99248           1000       21685746 
   38700     1000     -580.81981     -478.05102              0     -102.76878           1000       21740382 
   38800     1000     -532.10609      -442.6308              0     -89.475283           1000       21689848 
   38900     1000     -523.73618     -399.03847              0     -124.69771           1000       21793317 
   39000     1000     -526.36306     -421.63775              0     -104.72531           1000       21908285 
